Uberstrain,Name,Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status),Source Niche,Source Type,Source Details,Collection Year,Collection Month,Collection Day,Collection Time,Continent,Country,Region,District,City,Post Code,Latitude,Longitude,Lab Contact,Species,Serological Group,Serotype,EcoR Cluster,Path/Nonpath,Simple Patho,Simple Disease,Comment,Bio Project ID,Project ID,Disease,Sample ID,Secondary Sample ID,Date Entered,Release Date,Barcode,Status,Coverage,N50,Length,Species,Contig Number(>=200 bp),Low Quality Bases,Assembly barcode,Version
ESC_MA7857AA,TMP016398,ERR3329348;ILLUMINA;Paired;350;ERX3354063,Poultry,Avian,chickens,2015,9,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611543,ERS3415732,30/05/2019,20/05/2019,ESC_MA7857AA,Assembled,81,246071,5166356,Escherichia coli / Shigella;63.83%,65,12516,ESC_ZA5667AA_AS,4
ESC_MA7911AA,TMP015778,ERR3329292;ILLUMINA;Paired;350;ERX3354007,Human,Human,ND,2015,8,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611489,ERS3415678,30/05/2019,20/05/2019,ESC_MA7911AA,Assembled,81,89112,5103553,Escherichia coli / Shigella;98.07%,238,30839,ESC_ZA5613AA_AS,4
ESC_MA7965AA,PLQ2453,ERR3329237;ILLUMINA;Paired;350;ERX3353952,Poultry,Avian,chickens,2016,9,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611435,ERS3415624,30/05/2019,20/05/2019,ESC_MA7965AA,Assembled,81,168009,4880094,Escherichia coli / Shigella;98.45%,89,15655,ESC_ZA5476AA_AS,4
ESC_MA7969AA,PLQ2423,ERR3329233;ILLUMINA;Paired;350;ERX3353948,Human,Human,ND,2016,9,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611431,ERS3415620,30/05/2019,20/05/2019,ESC_MA7969AA,Assembled,81,85881,5141347,Escherichia coli / Shigella;100.0%,288,47545,ESC_ZA5472AA_AS,4
ESC_MA8029AA,PLQ000710,ERR3329153;ILLUMINA;Paired;350;ERX3353868,ND,Avian,ND,2016,8,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611371,ERS3415560,30/05/2019,20/05/2019,ESC_MA8029AA,Assembled,81,122643,4737651,Escherichia coli / Shigella;93.68%,132,42653,ESC_ZA5412AA_AS,4
ESC_MA8126AA,INT010069,ERR3329056;ILLUMINA;Paired;350;ERX3353771,Poultry,Avian,ducks,2016,10,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611274,ERS3415463,30/05/2019,20/05/2019,ESC_MA8126AA,Assembled,81,232085,4878285,Escherichia coli / Shigella;82.9%,149,64146,ESC_ZA5311AA_AS,4
ESC_MA8203AA,INT007716,ERR3328979;ILLUMINA;Paired;350;ERX3353694,Food,Plant,doorknob,2016,5,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611198,ERS3415387,30/05/2019,20/05/2019,ESC_MA8203AA,Assembled,81,255792,4664497,Escherichia coli / Shigella;100.0%,61,12451,ESC_ZA5234AA_AS,4
ESC_MA8248AA,INT007404,ERR3328934;ILLUMINA;Paired;350;ERX3353649,Livestock,Swine,pig,2016,5,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611152,ERS3415342,30/05/2019,20/05/2019,ESC_MA8248AA,Assembled,81,158511,5030141,Escherichia coli / Shigella;97.53%,113,17364,ESC_ZA5189AA_AS,4
ESC_MA8304AA,INT005872,ERR3328878;ILLUMINA;Paired;350;ERX3353593,Human,Human,ND,2016,4,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611096,ERS3415286,30/05/2019,20/05/2019,ESC_MA8304AA,Assembled,81,119507,5238908,Escherichia coli / Shigella;99.57%,320,28356,ESC_ZA5133AA_AS,4
ESC_MA8486AA,INT004502,ERR3328665;ILLUMINA;Paired;350;ERX3353380,Wild Animal,Rodent,rodent,2016,1,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610914,ERS3415104,30/05/2019,20/05/2019,ESC_MA8486AA,Assembled,81,256562,5175513,Escherichia coli / Shigella;100.0%,146,28929,ESC_ZA4950AA_AS,4
ESC_MA8526AA,INT004234,ERR3328625;ILLUMINA;Paired;350;ERX3353340,Food,Plant,pens,2016,1,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610874,ERS3415064,30/05/2019,20/05/2019,ESC_MA8526AA,Assembled,81,195243,4797296,Escherichia coli / Shigella;95.83%,94,13833,ESC_ZA4910AA_AS,4
ESC_MA8632AA,ALQ034765,ERR3328475;ILLUMINA;Paired;350;ERX3353190,Wild Animal,Rodent,rodent,2016,8,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610768,ERS3414958,30/05/2019,20/05/2019,ESC_MA8632AA,Assembled,81,101395,5325400,Escherichia coli / Shigella;99.38%,207,33178,ESC_ZA4804AA_AS,4
ESC_MA8674AA,ALQ028819,ERR3328409;ILLUMINA;Paired;350;ERX3353124,Wild Animal,Other Mammal,rabbit,2016,5,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610726,ERS3414916,30/05/2019,20/05/2019,ESC_MA8674AA,Assembled,81,250990,4668636,Escherichia coli / Shigella;100.0%,57,9396,ESC_ZA4762AA_AS,4
ESC_MA8717AA,ALQ023254,ERR3328364;ILLUMINA;Paired;350;ERX3353079,Human,Human,ND,2016,5,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610683,ERS3414873,30/05/2019,20/05/2019,ESC_MA8717AA,Assembled,81,86974,5196707,Escherichia coli / Shigella;97.18%,276,227269,ESC_ZA4719AA_AS,4
ESC_MA8740AA,ALQ020462,ERR3328340;ILLUMINA;Paired;350;ERX3353055,Food,Dairy,goat,2015,12,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610660,ERS3414850,30/05/2019,20/05/2019,ESC_MA8740AA,Assembled,81,560786,4720727,Escherichia coli / Shigella;100.0%,74,9644,ESC_ZA4696AA_AS,4
ESC_MA8770AA,ALQ020101,ERR3328308;ILLUMINA;Paired;350;ERX3353023,Livestock,Bovine,ND,2015,11,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610630,ERS3414820,30/05/2019,20/05/2019,ESC_MA8770AA,Assembled,81,95409,4656549,Escherichia coli / Shigella;89.49%,126,15368,ESC_ZA4665AA_AS,4
ESC_MA8781AA,ALQ020022,ERR3328297;ILLUMINA;Paired;350;ERX3353012,Human,Human,ND,2015,11,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610619,ERS3414809,30/05/2019,20/05/2019,ESC_MA8781AA,Assembled,81,126544,5114975,Escherichia coli / Shigella;99.01%,200,51484,ESC_ZA4654AA_AS,4
ESC_MA8839AA,ALQ019581,ERR3328231;ILLUMINA;Paired;350;ERX3352946,Human,Human,ND,2015,11,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610561,ERS3414751,30/05/2019,20/05/2019,ESC_MA8839AA,Assembled,81,127516,4613757,Escherichia coli / Shigella;96.79%,103,18934,ESC_ZA4595AA_AS,4
ESC_QA1717AA,ProbRG-07-3,SRR11014948;ILLUMINA;Paired;;SRX7670774,Wild Animal,Primate,Piliocolobus badius; stool,2016,,,,Africa,Gambia,Banjul,,Serekunda,,,,Quadram Institute Biosciences,Escherichia coli,,,,,,,,PRJNA604701,SRP247121,,SAMN13978687,SRS6098507,14/02/2020,04/02/2020,ESC_QA1717AA,Assembled,81,194185,5382631,Escherichia coli / Shigella;94.94%,87,29622,ESC_IB9866AA_AS,4.1
ESC_MA4393AA,H-21_2,traces-0HHLrxO;ILLUMINA;Paired;;NA,Human,Human,,,,,,Africa,Gambia,,,Basse,,,,Quadram Institute Biosciences,Escherichia coli / Shigella;100.0%,,,,,,,,,,,,,23/04/2019,23/04/2019,ESC_MA4393AA,Assembled,81,189788,4834166,Escherichia coli / Shigella;100.0%,54,9974,ESC_YA8659AA_AS,4
ESC_MA4454AA,GF6-3,traces-0WDTogo;ILLUMINA;Paired;;NA,Poultry,Avian,Domestic Guinea fowl,2016,,,,Africa,Gambia,,,Sibanor,,,,Quadram Institute Biosciences,Escherichia coli / Shigella;100.0%,,,,,,,,,,,,,24/04/2019,24/04/2019,ESC_MA4454AA,Assembled,81,193482,4818779,Escherichia coli / Shigella;100.0%,65,114325,ESC_YA9260AA_AS,4
ESC_MA4488AA,GF6-4,traces-0fFBObE;ILLUMINA;Paired;;NA,Poultry,Avian,Domestic Guinea fowl,2016,,,,Africa,Gambia,,,Sibanor,,,,Quadram Institute Biosciences,Escherichia coli / Shigella;100.0%,,,,,,,Caecal isolate collected from a healthy domestic Guinea fowl,,,None,,,24/04/2019,24/04/2019,ESC_MA4488AA,Assembled,81,174560,4819576,Escherichia coli / Shigella;100.0%,70,114848,ESC_YA9294AA_AS,4
ESC_KA2059AA,G1736_1,traces-0kIoDZu;ILLUMINA;Paired;;NA,,Primate,Papio papio,2017,6,14,,Africa,Gambia,,,Makasutu,,,,E. Foster-Nyarko,Escherichia coli / Shigella;97.54%,,,,,,,,,,,,,24/09/2018,29/03/2019,ESC_KA2059AA,Assembled,81,58356,4781236,Escherichia coli / Shigella;97.54%,229,57315,ESC_TA9079AA_AS,4
ESC_MA4487AA,GF2-5,traces-0gcjKae;ILLUMINA;Paired;;NA,Poultry,Avian,Domestic Guinea fowl,2016,,,,Africa,Gambia,,,Sibanor,,,,Quadram Institute Biosciences,Escherichia coli / Shigella;99.14%,,,,,,,Caecal isolate collected from a healthy domestic Guinea fowl,,,None,,,24/04/2019,24/04/2019,ESC_MA4487AA,Assembled,81,123766,5068924,Escherichia coli / Shigella;99.14%,142,179728,ESC_YA9293AA_AS,4
ESC_EA1695AA,MOD1-EC6776,SRR3957099;ILLUMINA;Paired;300;SRX1981159,Human,Human,Homo sapiens; homo sapiens-Intestine,1994,2,,,Africa,Zambia,,,,,,,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,O85:H10,,,,,,PRJNA230969,SRP058582,,SAMN04992124,SRS1588603,28/07/2016,01/01/2015,ESC_EA1695AA,Assembled,82,96339,5020428,Escherichia coli / Shigella;94.11%,154,5357,ESC_HA7804AA_AS,3.51
ESC_GA2735AA,NC_P17-18,SRR5452290;ILLUMINA;Paired;500;SRX2740968,Poultry,Avian,Poultry,2016,,,,Africa,Uganda,,,,,,,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,PRJNA293225,SRP103093,,SAMN06677731,SRS2127587,18/04/2017,18/04/2017,ESC_GA2735AA,Assembled,82,148161,4909078,Escherichia coli / Shigella;89.19%,110,9506,ESC_MA7222AA_AS,3.61
ESC_GA2812AA,NC_C19-08,SRR5459141;ILLUMINA;Paired;500;SRX2747154,Livestock,Bovine,cattle,2016,,,,Africa,Uganda,,,,,,,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,PRJNA293225,SRP103093,,SAMN06677724,SRS2133457,20/04/2017,19/04/2017,ESC_GA2812AA,Assembled,82,149611,4918421,Escherichia coli / Shigella;97.28%,121,6733,ESC_MA7524AA_AS,3.61
ESC_GA3465AA,NC_P03-15,"SRR5646685;ILLUMINA;Paired;500;SRX2884293,SRR5488060;ILLUMINA;Paired;500;SRX2770958",Poultry,Avian,Poultry,2016,,,,Africa,Uganda,,,,,,,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,PRJNA293225,SRP103093,,SAMN06848501,SRS2154433,02/05/2017,30/04/2017,ESC_GA3465AA,Assembled,82,175334,5196406,Escherichia coli / Shigella;90.42%,139,9231,ESC_NA3073AA_AS,3.61
ESC_GA6765AA,NC_P20-09,SRR5649841;ILLUMINA;Paired;500;SRX2886922,Poultry,Avian,Poultry,2016,,,,Africa,Uganda,,,,,,,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,PRJNA293225,SRP103093,,SAMN06848979,SRS2254959,15/06/2017,07/06/2017,ESC_GA6765AA,Assembled,82,98405,5392999,Escherichia coli / Shigella;92.19%,175,5794,ESC_NA9474AA_AS,3.61
ESC_HA7274AA,FDA00012265,SRR6208288;ILLUMINA;Paired;500;SRX3317566,Environment,Plant,Fresh Basil,2017,10,,,Africa,Egypt,Gharbia Governorate,As Santah,,,,,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,PRJNA230969,SRP058582,,SAMN07813268,SRS2623127,25/10/2017,24/10/2017,ESC_HA7274AA,Assembled,82,95010,4908926,Escherichia coli / Shigella;97.85%,257,4468,ESC_QA3409AA_AS,3.61
ESC_MA0864AA,,ERR2571031;ILLUMINA;Paired;1000;ERX2588032,Poultry,Avian,chicken,,,,,Africa,Ghana,,,,,,,Justus-Liebig-Universitaet Giessen,Escherichia coli,,,,,,,,PRJEB26592,ERP108593,,SAMEA4653246,ERS2473882,06/03/2019,06/03/2019,ESC_MA0864AA,Assembled,82,185862,4802590,Escherichia coli / Shigella;89.86%,94,16764,ESC_XA2054AA_AS,4
ESC_MA0872AA,,ERR2571023;ILLUMINA;Paired;1000;ERX2588024,Poultry,Avian,chicken,,,,,Africa,Ghana,,,,,,,Justus-Liebig-Universitaet Giessen,Escherichia coli,,,,,,,,PRJEB26592,ERP108593,,SAMEA4653238,ERS2473874,06/03/2019,06/03/2019,ESC_MA0872AA,Assembled,82,147693,4558749,Escherichia coli / Shigella;96.0%,116,16223,ESC_XA2046AA_AS,4
ESC_MA0874AA,,ERR2571021;ILLUMINA;Paired;1000;ERX2588022,Poultry,Avian,chicken,,,,,Africa,Ghana,,,,,,,Justus-Liebig-Universitaet Giessen,Escherichia coli,,,,,,,,PRJEB26592,ERP108593,,SAMEA4653236,ERS2473872,06/03/2019,06/03/2019,ESC_MA0874AA,Assembled,82,83528,4747538,Escherichia coli / Shigella;90.0%,157,31399,ESC_XA2044AA_AS,4
ESC_MA0901AA,,ERR2570994;ILLUMINA;Paired;1000;ERX2587995,Poultry,Avian,chicken,,,,,Africa,Ghana,,,,,,,Justus-Liebig-Universitaet Giessen,Escherichia coli,,,,,,,,PRJEB26592,ERP108593,,SAMEA4653209,ERS2473845,06/03/2019,06/03/2019,ESC_MA0901AA,Assembled,82,147555,4628200,Escherichia coli / Shigella;86.71%,141,16694,ESC_XA2017AA_AS,4
ESC_MA7270AA,TMP020025,ERR3330254;ILLUMINA;Paired;350;ERX3354969,Human,Human,ND,2015,10,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611758,ERS3415947,30/05/2019,20/05/2019,ESC_MA7270AA,Assembled,82,171853,4728933,Escherichia coli / Shigella;98.73%,119,32249,ESC_ZA6255AA_AS,4
ESC_MA7299AA,TWAG1958,ERR3330605;ILLUMINA;Paired;350;ERX3355320,Human,Human,ND,2016,9,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5612110,ERS3416298,30/05/2019,20/05/2019,ESC_MA7299AA,Assembled,82,217850,4870359,Escherichia coli / Shigella;100.0%,110,14469,ESC_ZA6226AA_AS,4
ESC_MA7303AA,TWAG1933,ERR3330601;ILLUMINA;Paired;350;ERX3355316,Poultry,Avian,chickens,2016,9,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5612106,ERS3416294,30/05/2019,20/05/2019,ESC_MA7303AA,Assembled,82,226660,4767139,Escherichia coli / Shigella;100.0%,84,13124,ESC_ZA6222AA_AS,4
ESC_MA7342AA,TWAG1693,ERR3330562;ILLUMINA;Paired;350;ERX3355277,Livestock,Bovine,beef meat,2016,9,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5612067,ERS3416255,30/05/2019,20/05/2019,ESC_MA7342AA,Assembled,82,138525,4805600,Escherichia coli / Shigella;100.0%,133,14845,ESC_ZA6182AA_AS,4
ESC_MA7655AA,TMP019936,ERR3330241;ILLUMINA;Paired;350;ERX3354956,ND,Avian,ND,2015,11,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611745,ERS3415934,30/05/2019,20/05/2019,ESC_MA7655AA,Assembled,82,185879,5130049,Escherichia coli / Shigella;89.99%,139,23414,ESC_ZA5869AA_AS,4
ESC_MA7664AA,TMP019859,ERR3330232;ILLUMINA;Paired;350;ERX3354947,Wild Animal,Rodent,rodent,2015,11,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611736,ERS3415925,30/05/2019,20/05/2019,ESC_MA7664AA,Assembled,82,188029,4939165,Escherichia coli / Shigella;98.82%,114,22614,ESC_ZA5860AA_AS,4
ESC_MA7668AA,TMP019832,ERR3330228;ILLUMINA;Paired;350;ERX3354943,Wild Animal,Rodent,rodent,2015,11,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611732,ERS3415921,30/05/2019,20/05/2019,ESC_MA7668AA,Assembled,82,135663,4650778,Escherichia coli / Shigella;97.19%,104,16964,ESC_ZA5856AA_AS,4
ESC_MA7711AA,TMP019451,ERR3330185;ILLUMINA;Paired;350;ERX3354900,Food,Plant,pens,2015,11,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611689,ERS3415878,30/05/2019,20/05/2019,ESC_MA7711AA,Assembled,82,191628,4918906,Escherichia coli / Shigella;96.78%,86,11665,ESC_ZA5813AA_AS,4
ESC_MA7867AA,TMP016335,ERR3329338;ILLUMINA;Paired;350;ERX3354053,Wild Animal,Other Mammal,rabbit,2015,10,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611533,ERS3415722,30/05/2019,20/05/2019,ESC_MA7867AA,Assembled,82,664134,4885321,Escherichia coli / Shigella;91.99%,43,8759,ESC_ZA5657AA_AS,4
ESC_MA7905AA,TMP015837,ERR3329299;ILLUMINA;Paired;350;ERX3354014,Food,Dairy,goat,2015,9,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611495,ERS3415684,30/05/2019,20/05/2019,ESC_MA7905AA,Assembled,82,188220,4739393,Escherichia coli / Shigella;96.29%,76,14475,ESC_ZA5619AA_AS,4
ESC_MA7910AA,TMP015782,ERR3329293;ILLUMINA;Paired;350;ERX3354008,Poultry,Avian,chickens,2015,8,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611490,ERS3415679,30/05/2019,20/05/2019,ESC_MA7910AA,Assembled,82,260210,4821945,Escherichia coli / Shigella;95.55%,69,24170,ESC_ZA5614AA_AS,4
ESC_MA7964AA,PLQ2455,ERR3329238;ILLUMINA;Paired;350;ERX3353953,Poultry,Avian,chickens,2016,9,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611436,ERS3415625,30/05/2019,20/05/2019,ESC_MA7964AA,Assembled,82,290848,5080514,Escherichia coli / Shigella;95.65%,66,20093,ESC_ZA5477AA_AS,4
ESC_MA8028AA,PLQ000715,ERR3329154;ILLUMINA;Paired;350;ERX3353869,ND,Avian,ND,2016,8,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611372,ERS3415561,30/05/2019,20/05/2019,ESC_MA8028AA,Assembled,82,269826,4771700,Escherichia coli / Shigella;97.62%,57,11642,ESC_ZA5413AA_AS,4
ESC_MA8048AA,PLQ000593,ERR3329134;ILLUMINA;Paired;350;ERX3353849,Livestock,Ovine,sheep,2016,8,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611352,ERS3415541,30/05/2019,20/05/2019,ESC_MA8048AA,Assembled,82,637243,4880739,Escherichia coli / Shigella;100.0%,79,7940,ESC_ZA5393AA_AS,4
ESC_MA8056AA,PLQ000544,ERR3329126;ILLUMINA;Paired;350;ERX3353841,Livestock,Bovine,ND,2016,8,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611344,ERS3415533,30/05/2019,20/05/2019,ESC_MA8056AA,Assembled,82,195144,4874797,Escherichia coli / Shigella;98.59%,90,12934,ESC_ZA5385AA_AS,4
ESC_MA8082AA,PL015249,ERR3329100;ILLUMINA;Paired;350;ERX3353815,ND,Avian,ND,2015,10,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611318,ERS3415507,30/05/2019,20/05/2019,ESC_MA8082AA,Assembled,82,151661,5083016,Escherichia coli / Shigella;97.57%,121,20065,ESC_ZA5359AA_AS,4
ESC_MA8115AA,INT010134,ERR3329067;ILLUMINA;Paired;350;ERX3353782,Poultry,Avian,geese,2016,10,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611285,ERS3415474,30/05/2019,20/05/2019,ESC_MA8115AA,Assembled,82,195984,4722294,Escherichia coli / Shigella;100.0%,97,15692,ESC_ZA5322AA_AS,4
ESC_MA8132AA,INT010030,ERR3329050;ILLUMINA;Paired;350;ERX3353765,Wild Animal,Rodent,rodent,2016,10,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611268,ERS3415457,30/05/2019,20/05/2019,ESC_MA8132AA,Assembled,82,193331,5032052,Escherichia coli / Shigella;95.41%,155,15494,ESC_ZA5305AA_AS,4
ESC_MA8283AA,INT006152,ERR3328899;ILLUMINA;Paired;350;ERX3353614,Wild Animal,Other Mammal,rabbit,2016,5,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611117,ERS3415307,30/05/2019,20/05/2019,ESC_MA8283AA,Assembled,82,166939,4814201,Escherichia coli / Shigella;98.28%,114,14512,ESC_ZA5154AA_AS,4
ESC_MA8284AA,INT006147,ERR3328898;ILLUMINA;Paired;350;ERX3353613,Poultry,Avian,turkeys,2016,5,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611116,ERS3415306,30/05/2019,20/05/2019,ESC_MA8284AA,Assembled,82,234019,4952043,Escherichia coli / Shigella;100.0%,122,13492,ESC_ZA5153AA_AS,4
ESC_MA8502AA,INT004392,ERR3328649;ILLUMINA;Paired;350;ERX3353364,ND,Avian,avian population,2015,,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,Collection year is ambiguous - 2015/2016,PRJEB32607,ERP115308,,SAMEA5610898,ERS3415088,30/05/2019,20/05/2019,ESC_MA8502AA,Assembled,82,288257,4787362,Escherichia coli / Shigella;100.0%,58,9867,ESC_ZA4934AA_AS,4
ESC_MA8512AA,INT004326,ERR3328639;ILLUMINA;Paired;350;ERX3353354,Human,Human,ND,2016,1,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610888,ERS3415078,30/05/2019,20/05/2019,ESC_MA8512AA,Assembled,82,196122,4863480,Escherichia coli / Shigella;96.77%,88,27929,ESC_ZA4924AA_AS,4
ESC_MA8576AA,INT003176,ERR3328573;ILLUMINA;Paired;350;ERX3353288,Poultry,Avian,chickens,2016,2,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610824,ERS3415014,30/05/2019,20/05/2019,ESC_MA8576AA,Assembled,82,236110,5268436,Escherichia coli / Shigella;92.55%,129,40980,ESC_ZA4860AA_AS,4
ESC_MA8616AA,ALQ034923,ERR3328493;ILLUMINA;Paired;350;ERX3353208,Human,Human,ND,2016,9,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610784,ERS3414974,30/05/2019,20/05/2019,ESC_MA8616AA,Assembled,82,244667,4929090,Escherichia coli / Shigella;100.0%,106,10831,ESC_ZA4820AA_AS,4
ESC_MA8649AA,ALQ034618,ERR3328437;ILLUMINA;Paired;350;ERX3353152,Wild Animal,Rodent,rodent,2016,8,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610751,ERS3414941,30/05/2019,20/05/2019,ESC_MA8649AA,Assembled,82,314067,4606958,Escherichia coli / Shigella;100.0%,81,10725,ESC_ZA4787AA_AS,4
ESC_MA8702AA,ALQ023482,ERR3328379;ILLUMINA;Paired;350;ERX3353094,Wild Animal,Rodent,rodent,2016,7,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610698,ERS3414888,30/05/2019,20/05/2019,ESC_MA8702AA,Assembled,82,332689,4922721,Escherichia coli / Shigella;97.88%,76,11837,ESC_ZA4734AA_AS,4
ESC_MA8792AA,ALQ019942,ERR3328281;ILLUMINA;Paired;350;ERX3352996,Livestock,Swine,pig,2015,11,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610608,ERS3414798,30/05/2019,20/05/2019,ESC_MA8792AA,Assembled,82,151433,4678870,Escherichia coli / Shigella;96.77%,97,22990,ESC_ZA4643AA_AS,4
ESC_MA8817AA,ALQ019759,ERR3328254;ILLUMINA;Paired;350;ERX3352969,Wild Animal,Rodent,rodent,2015,,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,Collection year is ambiguous - 2015/2016,PRJEB32607,ERP115308,,SAMEA5610583,ERS3414773,30/05/2019,20/05/2019,ESC_MA8817AA,Assembled,82,217392,4925273,Escherichia coli / Shigella;100.0%,86,13189,ESC_ZA4618AA_AS,4
ESC_MA8877AA,ALQ018897,ERR3328059;ILLUMINA;Paired;350;ERX3352774,Livestock,Bovine,beef meat,2015,10,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610523,ERS3414713,30/05/2019,20/05/2019,ESC_MA8877AA,Assembled,82,132949,4645559,Escherichia coli / Shigella;100.0%,93,14703,ESC_ZA4557AA_AS,4
