date,area,confirm,type,country,GSS_CD
03/03/2020,Torfaen County,0,UTLA,Wales,W06000020
03/03/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
03/03/2020,Wrexham,0,UTLA,Wales,W06000006
04/03/2020,Northern Ireland,3,Country,Northern Ireland,N92
04/03/2020,Scotland,3,Country,Scotland,S92
04/03/2020,Wales,1,Country,Wales,W92
04/03/2020,Ayrshire and Arran,1,Health board,Scotland,S08000015
04/03/2020,Borders,0,Health board,Scotland,S08000016
04/03/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
04/03/2020,Fife,0,Health board,Scotland,S08000029
04/03/2020,Forth Valley,0,Health board,Scotland,S08000019
04/03/2020,Grampian,1,Health board,Scotland,S08000020
04/03/2020,Greater Glasgow and Clyde,0,Health board,Scotland,S08000031
04/03/2020,Highland,0,Health board,Scotland,S08000022
04/03/2020,Lanarkshire,0,Health board,Scotland,S08000032
04/03/2020,Lothian,0,Health board,Scotland,S08000024
04/03/2020,Shetland,0,Health board,Scotland,S08000026
04/03/2020,Tayside,1,Health board,Scotland,S08000030
04/03/2020,Swansea Bay,NA,Health board,Wales,W11000031
04/03/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
04/03/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
04/03/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
04/03/2020,Cwm Taf,NA,Health board,Wales,W11000030
04/03/2020,Hywel Dda,NA,Health board,Wales,W11000025
04/03/2020,Powys,NA,Health board,Wales,W11000024
04/03/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
04/03/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
04/03/2020,Belfast,NA,LGD,Northern Ireland,N09000003
04/03/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
04/03/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
04/03/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
04/03/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
04/03/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
04/03/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
04/03/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
04/03/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
04/03/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
04/03/2020,Bridgend,0,UTLA,Wales,W06000013
04/03/2020,Caerphilly,0,UTLA,Wales,W06000018
04/03/2020,Carmarthenshire,0,UTLA,Wales,W06000010
04/03/2020,Ceredigion,0,UTLA,Wales,W06000008
04/03/2020,City and County of Swansea,0,UTLA,Wales,W06000011
04/03/2020,City of Cardiff,0,UTLA,Wales,W06000015
04/03/2020,Conwy,0,UTLA,Wales,W06000003
04/03/2020,Denbighshire,0,UTLA,Wales,W06000004
04/03/2020,Flintshire,0,UTLA,Wales,W06000005
04/03/2020,Gwynedd,0,UTLA,Wales,W06000002
04/03/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
04/03/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
04/03/2020,Monmouthshire,0,UTLA,Wales,W06000021
04/03/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
04/03/2020,Newport,0,UTLA,Wales,W06000022
04/03/2020,Pembrokeshire,0,UTLA,Wales,W06000009
04/03/2020,Powys,0,UTLA,Wales,W06000023
04/03/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
04/03/2020,Torfaen County,0,UTLA,Wales,W06000020
04/03/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
04/03/2020,Wrexham,0,UTLA,Wales,W06000006
05/03/2020,Northern Ireland,3,Country,Northern Ireland,N92
05/03/2020,Scotland,6,Country,Scotland,S92
05/03/2020,Wales,2,Country,Wales,W92
05/03/2020,Ayrshire and Arran,1,Health board,Scotland,S08000015
05/03/2020,Borders,0,Health board,Scotland,S08000016
05/03/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
05/03/2020,Fife,0,Health board,Scotland,S08000029
05/03/2020,Forth Valley,1,Health board,Scotland,S08000019
05/03/2020,Grampian,2,Health board,Scotland,S08000020
05/03/2020,Greater Glasgow and Clyde,1,Health board,Scotland,S08000031
05/03/2020,Highland,0,Health board,Scotland,S08000022
05/03/2020,Lanarkshire,0,Health board,Scotland,S08000032
05/03/2020,Lothian,0,Health board,Scotland,S08000024
05/03/2020,Shetland,0,Health board,Scotland,S08000026
05/03/2020,Tayside,1,Health board,Scotland,S08000030
05/03/2020,Swansea Bay,NA,Health board,Wales,W11000031
05/03/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
05/03/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
05/03/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
05/03/2020,Cwm Taf,NA,Health board,Wales,W11000030
05/03/2020,Hywel Dda,NA,Health board,Wales,W11000025
05/03/2020,Powys,NA,Health board,Wales,W11000024
05/03/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
05/03/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
05/03/2020,Belfast,NA,LGD,Northern Ireland,N09000003
05/03/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
05/03/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
05/03/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
05/03/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
05/03/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
05/03/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
05/03/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
05/03/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
05/03/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
05/03/2020,Bridgend,0,UTLA,Wales,W06000013
05/03/2020,Caerphilly,0,UTLA,Wales,W06000018
05/03/2020,Carmarthenshire,0,UTLA,Wales,W06000010
05/03/2020,Ceredigion,0,UTLA,Wales,W06000008
05/03/2020,City and County of Swansea,0,UTLA,Wales,W06000011
05/03/2020,City of Cardiff,1,UTLA,Wales,W06000015
05/03/2020,Conwy,0,UTLA,Wales,W06000003
05/03/2020,Denbighshire,0,UTLA,Wales,W06000004
05/03/2020,Flintshire,0,UTLA,Wales,W06000005
05/03/2020,Gwynedd,0,UTLA,Wales,W06000002
05/03/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
05/03/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
05/03/2020,Monmouthshire,0,UTLA,Wales,W06000021
05/03/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
05/03/2020,Newport,0,UTLA,Wales,W06000022
05/03/2020,Pembrokeshire,0,UTLA,Wales,W06000009
05/03/2020,Powys,0,UTLA,Wales,W06000023
05/03/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
05/03/2020,Torfaen County,0,UTLA,Wales,W06000020
05/03/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
05/03/2020,Wrexham,0,UTLA,Wales,W06000006
06/03/2020,Northern Ireland,3,Country,Northern Ireland,N92
06/03/2020,Scotland,11,Country,Scotland,S92
06/03/2020,Wales,2,Country,Wales,W92
06/03/2020,Ayrshire and Arran,1,Health board,Scotland,S08000015
06/03/2020,Borders,0,Health board,Scotland,S08000016
06/03/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
06/03/2020,Fife,2,Health board,Scotland,S08000029
06/03/2020,Forth Valley,2,Health board,Scotland,S08000019
06/03/2020,Grampian,3,Health board,Scotland,S08000020
06/03/2020,Greater Glasgow and Clyde,1,Health board,Scotland,S08000031
06/03/2020,Highland,0,Health board,Scotland,S08000022
06/03/2020,Lanarkshire,0,Health board,Scotland,S08000032
06/03/2020,Lothian,1,Health board,Scotland,S08000024
06/03/2020,Shetland,0,Health board,Scotland,S08000026
06/03/2020,Tayside,1,Health board,Scotland,S08000030
06/03/2020,Swansea Bay,NA,Health board,Wales,W11000031
06/03/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
06/03/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
06/03/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
06/03/2020,Cwm Taf,NA,Health board,Wales,W11000030
06/03/2020,Hywel Dda,NA,Health board,Wales,W11000025
06/03/2020,Powys,NA,Health board,Wales,W11000024
06/03/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
06/03/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
06/03/2020,Belfast,NA,LGD,Northern Ireland,N09000003
06/03/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
06/03/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
06/03/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
06/03/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
06/03/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
06/03/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
06/03/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
06/03/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
06/03/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
06/03/2020,Bridgend,0,UTLA,Wales,W06000013
06/03/2020,Caerphilly,0,UTLA,Wales,W06000018
06/03/2020,Carmarthenshire,0,UTLA,Wales,W06000010
06/03/2020,Ceredigion,0,UTLA,Wales,W06000008
06/03/2020,City and County of Swansea,0,UTLA,Wales,W06000011
06/03/2020,City of Cardiff,1,UTLA,Wales,W06000015
06/03/2020,Conwy,0,UTLA,Wales,W06000003
06/03/2020,Denbighshire,0,UTLA,Wales,W06000004
06/03/2020,Flintshire,0,UTLA,Wales,W06000005
06/03/2020,Gwynedd,0,UTLA,Wales,W06000002
06/03/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
06/03/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
06/03/2020,Monmouthshire,0,UTLA,Wales,W06000021
06/03/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
06/03/2020,Newport,0,UTLA,Wales,W06000022
06/03/2020,Pembrokeshire,0,UTLA,Wales,W06000009
06/03/2020,Powys,0,UTLA,Wales,W06000023
06/03/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
06/03/2020,Torfaen County,0,UTLA,Wales,W06000020
06/03/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
06/03/2020,Wrexham,0,UTLA,Wales,W06000006
07/03/2020,Northern Ireland,7,Country,Northern Ireland,N92
07/03/2020,Scotland,16,Country,Scotland,S92
07/03/2020,Wales,2,Country,Wales,W92
07/03/2020,Ayrshire and Arran,1,Health board,Scotland,S08000015
07/03/2020,Borders,0,Health board,Scotland,S08000016
07/03/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
07/03/2020,Fife,2,Health board,Scotland,S08000029
07/03/2020,Forth Valley,2,Health board,Scotland,S08000019
07/03/2020,Grampian,3,Health board,Scotland,S08000020
07/03/2020,Greater Glasgow and Clyde,1,Health board,Scotland,S08000031
07/03/2020,Highland,0,Health board,Scotland,S08000022
07/03/2020,Lanarkshire,0,Health board,Scotland,S08000032
07/03/2020,Lothian,1,Health board,Scotland,S08000024
07/03/2020,Shetland,0,Health board,Scotland,S08000026
07/03/2020,Tayside,1,Health board,Scotland,S08000030
07/03/2020,Swansea Bay,NA,Health board,Wales,W11000031
07/03/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
07/03/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
07/03/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
07/03/2020,Cwm Taf,NA,Health board,Wales,W11000030
07/03/2020,Hywel Dda,NA,Health board,Wales,W11000025
07/03/2020,Powys,NA,Health board,Wales,W11000024
07/03/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
07/03/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
07/03/2020,Belfast,NA,LGD,Northern Ireland,N09000003
07/03/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
07/03/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
07/03/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
07/03/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
07/03/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
07/03/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
07/03/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
07/03/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
07/03/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
07/03/2020,Bridgend,0,UTLA,Wales,W06000013
07/03/2020,Caerphilly,0,UTLA,Wales,W06000018
07/03/2020,Carmarthenshire,0,UTLA,Wales,W06000010
07/03/2020,Ceredigion,0,UTLA,Wales,W06000008
07/03/2020,City and County of Swansea,0,UTLA,Wales,W06000011
07/03/2020,City of Cardiff,1,UTLA,Wales,W06000015
07/03/2020,Conwy,0,UTLA,Wales,W06000003
07/03/2020,Denbighshire,0,UTLA,Wales,W06000004
07/03/2020,Flintshire,0,UTLA,Wales,W06000005
07/03/2020,Gwynedd,0,UTLA,Wales,W06000002
07/03/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
07/03/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
07/03/2020,Monmouthshire,0,UTLA,Wales,W06000021
07/03/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
07/03/2020,Newport,0,UTLA,Wales,W06000022
07/03/2020,Pembrokeshire,0,UTLA,Wales,W06000009
07/03/2020,Powys,0,UTLA,Wales,W06000023
07/03/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
07/03/2020,Torfaen County,0,UTLA,Wales,W06000020
07/03/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
07/03/2020,Wrexham,0,UTLA,Wales,W06000006
08/03/2020,Northern Ireland,12,Country,Northern Ireland,N92
08/03/2020,Scotland,18,Country,Scotland,S92
08/03/2020,Wales,4,Country,Wales,W92
08/03/2020,Ayrshire and Arran,1,Health board,Scotland,S08000015
08/03/2020,Borders,0,Health board,Scotland,S08000016
08/03/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
08/03/2020,Fife,2,Health board,Scotland,S08000029
08/03/2020,Forth Valley,2,Health board,Scotland,S08000019
08/03/2020,Grampian,4,Health board,Scotland,S08000020
08/03/2020,Greater Glasgow and Clyde,3,Health board,Scotland,S08000031
08/03/2020,Highland,0,Health board,Scotland,S08000022
08/03/2020,Lanarkshire,2,Health board,Scotland,S08000032
08/03/2020,Lothian,3,Health board,Scotland,S08000024
08/03/2020,Shetland,0,Health board,Scotland,S08000026
08/03/2020,Tayside,1,Health board,Scotland,S08000030
08/03/2020,Swansea Bay,NA,Health board,Wales,W11000031
08/03/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
08/03/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
08/03/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
08/03/2020,Cwm Taf,NA,Health board,Wales,W11000030
08/03/2020,Hywel Dda,NA,Health board,Wales,W11000025
08/03/2020,Powys,NA,Health board,Wales,W11000024
08/03/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
08/03/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
08/03/2020,Belfast,NA,LGD,Northern Ireland,N09000003
08/03/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
08/03/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
08/03/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
08/03/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
08/03/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
08/03/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
08/03/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
08/03/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
08/03/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
08/03/2020,Bridgend,0,UTLA,Wales,W06000013
08/03/2020,Caerphilly,0,UTLA,Wales,W06000018
08/03/2020,Carmarthenshire,0,UTLA,Wales,W06000010
08/03/2020,Ceredigion,0,UTLA,Wales,W06000008
08/03/2020,City and County of Swansea,0,UTLA,Wales,W06000011
08/03/2020,City of Cardiff,1,UTLA,Wales,W06000015
08/03/2020,Conwy,0,UTLA,Wales,W06000003
08/03/2020,Denbighshire,0,UTLA,Wales,W06000004
08/03/2020,Flintshire,0,UTLA,Wales,W06000005
08/03/2020,Gwynedd,0,UTLA,Wales,W06000002
08/03/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
08/03/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
08/03/2020,Monmouthshire,0,UTLA,Wales,W06000021
08/03/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
08/03/2020,Newport,0,UTLA,Wales,W06000022
08/03/2020,Pembrokeshire,2,UTLA,Wales,W06000009
08/03/2020,Powys,0,UTLA,Wales,W06000023
08/03/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
08/03/2020,Torfaen County,0,UTLA,Wales,W06000020
08/03/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
08/03/2020,Wrexham,0,UTLA,Wales,W06000006
09/03/2020,Northern Ireland,12,Country,Northern Ireland,N92
09/03/2020,Scotland,23,Country,Scotland,S92
09/03/2020,Wales,6,Country,Wales,W92
09/03/2020,Ayrshire and Arran,1,Health board,Scotland,S08000015
09/03/2020,Borders,0,Health board,Scotland,S08000016
09/03/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
09/03/2020,Fife,2,Health board,Scotland,S08000029
09/03/2020,Forth Valley,2,Health board,Scotland,S08000019
09/03/2020,Grampian,4,Health board,Scotland,S08000020
09/03/2020,Greater Glasgow and Clyde,3,Health board,Scotland,S08000031
09/03/2020,Highland,0,Health board,Scotland,S08000022
09/03/2020,Lanarkshire,3,Health board,Scotland,S08000032
09/03/2020,Lothian,5,Health board,Scotland,S08000024
09/03/2020,Shetland,2,Health board,Scotland,S08000026
09/03/2020,Tayside,1,Health board,Scotland,S08000030
09/03/2020,Swansea Bay,NA,Health board,Wales,W11000031
09/03/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
09/03/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
09/03/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
09/03/2020,Cwm Taf,NA,Health board,Wales,W11000030
09/03/2020,Hywel Dda,NA,Health board,Wales,W11000025
09/03/2020,Powys,NA,Health board,Wales,W11000024
09/03/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
09/03/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
09/03/2020,Belfast,NA,LGD,Northern Ireland,N09000003
09/03/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
09/03/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
09/03/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
09/03/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
09/03/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
09/03/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
09/03/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
09/03/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
09/03/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
09/03/2020,Bridgend,0,UTLA,Wales,W06000013
09/03/2020,Caerphilly,0,UTLA,Wales,W06000018
09/03/2020,Carmarthenshire,0,UTLA,Wales,W06000010
09/03/2020,Ceredigion,0,UTLA,Wales,W06000008
09/03/2020,City and County of Swansea,0,UTLA,Wales,W06000011
09/03/2020,City of Cardiff,1,UTLA,Wales,W06000015
09/03/2020,Conwy,0,UTLA,Wales,W06000003
09/03/2020,Denbighshire,0,UTLA,Wales,W06000004
09/03/2020,Flintshire,0,UTLA,Wales,W06000005
09/03/2020,Gwynedd,0,UTLA,Wales,W06000002
09/03/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
09/03/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
09/03/2020,Monmouthshire,0,UTLA,Wales,W06000021
09/03/2020,Neath Port Talbot,1,UTLA,Wales,W06000012
09/03/2020,Newport,1,UTLA,Wales,W06000022
09/03/2020,Pembrokeshire,2,UTLA,Wales,W06000009
09/03/2020,Powys,0,UTLA,Wales,W06000023
09/03/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
09/03/2020,Torfaen County,0,UTLA,Wales,W06000020
09/03/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
09/03/2020,Wrexham,0,UTLA,Wales,W06000006
10/03/2020,Northern Ireland,16,Country,Northern Ireland,N92
10/03/2020,Scotland,27,Country,Scotland,S92
10/03/2020,Wales,6,Country,Wales,W92
10/03/2020,Ayrshire and Arran,1,Health board,Scotland,S08000015
10/03/2020,Borders,0,Health board,Scotland,S08000016
10/03/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
10/03/2020,Fife,2,Health board,Scotland,S08000029
10/03/2020,Forth Valley,2,Health board,Scotland,S08000019
10/03/2020,Grampian,6,Health board,Scotland,S08000020
10/03/2020,Greater Glasgow and Clyde,3,Health board,Scotland,S08000031
10/03/2020,Highland,0,Health board,Scotland,S08000022
10/03/2020,Lanarkshire,3,Health board,Scotland,S08000032
10/03/2020,Lothian,7,Health board,Scotland,S08000024
10/03/2020,Shetland,2,Health board,Scotland,S08000026
10/03/2020,Tayside,1,Health board,Scotland,S08000030
10/03/2020,Swansea Bay,NA,Health board,Wales,W11000031
10/03/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
10/03/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
10/03/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
10/03/2020,Cwm Taf,NA,Health board,Wales,W11000030
10/03/2020,Hywel Dda,NA,Health board,Wales,W11000025
10/03/2020,Powys,NA,Health board,Wales,W11000024
10/03/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
10/03/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
10/03/2020,Belfast,NA,LGD,Northern Ireland,N09000003
10/03/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
10/03/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
10/03/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
10/03/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
10/03/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
10/03/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
10/03/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
10/03/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
10/03/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
10/03/2020,Bridgend,0,UTLA,Wales,W06000013
10/03/2020,Caerphilly,0,UTLA,Wales,W06000018
10/03/2020,Carmarthenshire,2,UTLA,Wales,W06000010
10/03/2020,Ceredigion,0,UTLA,Wales,W06000008
10/03/2020,City and County of Swansea,1,UTLA,Wales,W06000011
10/03/2020,City of Cardiff,2,UTLA,Wales,W06000015
10/03/2020,Conwy,0,UTLA,Wales,W06000003
10/03/2020,Denbighshire,0,UTLA,Wales,W06000004
10/03/2020,Flintshire,0,UTLA,Wales,W06000005
10/03/2020,Gwynedd,0,UTLA,Wales,W06000002
10/03/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
10/03/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
10/03/2020,Monmouthshire,0,UTLA,Wales,W06000021
10/03/2020,Neath Port Talbot,6,UTLA,Wales,W06000012
10/03/2020,Newport,1,UTLA,Wales,W06000022
10/03/2020,Pembrokeshire,2,UTLA,Wales,W06000009
10/03/2020,Powys,0,UTLA,Wales,W06000023
10/03/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
10/03/2020,Torfaen County,0,UTLA,Wales,W06000020
10/03/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
10/03/2020,Wrexham,0,UTLA,Wales,W06000006
11/03/2020,Northern Ireland,18,Country,Northern Ireland,N92
11/03/2020,Scotland,36,Country,Scotland,S92
11/03/2020,Wales,15,Country,Wales,W92
11/03/2020,Ayrshire and Arran,3,Health board,Scotland,S08000015
11/03/2020,Borders,2,Health board,Scotland,S08000016
11/03/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
11/03/2020,Fife,2,Health board,Scotland,S08000029
11/03/2020,Forth Valley,2,Health board,Scotland,S08000019
11/03/2020,Grampian,6,Health board,Scotland,S08000020
11/03/2020,Greater Glasgow and Clyde,5,Health board,Scotland,S08000031
11/03/2020,Highland,0,Health board,Scotland,S08000022
11/03/2020,Lanarkshire,4,Health board,Scotland,S08000032
11/03/2020,Lothian,8,Health board,Scotland,S08000024
11/03/2020,Shetland,2,Health board,Scotland,S08000026
11/03/2020,Tayside,2,Health board,Scotland,S08000030
11/03/2020,Swansea Bay,NA,Health board,Wales,W11000031
11/03/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
11/03/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
11/03/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
11/03/2020,Cwm Taf,NA,Health board,Wales,W11000030
11/03/2020,Hywel Dda,NA,Health board,Wales,W11000025
11/03/2020,Powys,NA,Health board,Wales,W11000024
11/03/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
11/03/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
11/03/2020,Belfast,NA,LGD,Northern Ireland,N09000003
11/03/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
11/03/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
11/03/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
11/03/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
11/03/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
11/03/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
11/03/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
11/03/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
11/03/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
11/03/2020,Bridgend,0,UTLA,Wales,W06000013
11/03/2020,Caerphilly,1,UTLA,Wales,W06000018
11/03/2020,Carmarthenshire,2,UTLA,Wales,W06000010
11/03/2020,Ceredigion,0,UTLA,Wales,W06000008
11/03/2020,City and County of Swansea,2,UTLA,Wales,W06000011
11/03/2020,City of Cardiff,2,UTLA,Wales,W06000015
11/03/2020,Conwy,0,UTLA,Wales,W06000003
11/03/2020,Denbighshire,0,UTLA,Wales,W06000004
11/03/2020,Flintshire,0,UTLA,Wales,W06000005
11/03/2020,Gwynedd,0,UTLA,Wales,W06000002
11/03/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
11/03/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
11/03/2020,Monmouthshire,0,UTLA,Wales,W06000021
11/03/2020,Neath Port Talbot,6,UTLA,Wales,W06000012
11/03/2020,Newport,1,UTLA,Wales,W06000022
11/03/2020,Pembrokeshire,2,UTLA,Wales,W06000009
